,Date,gain,total_gain
966,2023-11-16,-9.300000000000182,2529.2999999999975
967,2023-11-17,25.300000000000182,2554.5999999999976
970,2023-11-20,-3.2000000000000455,2551.399999999998
971,2023-11-21,-0.40000000000009095,2550.9999999999977
972,2023-11-22,1.099999999999909,2552.0999999999976
973,2023-11-23,26.600000000000136,2578.699999999998
974,2023-11-24,-4.7000000000000455,2573.999999999998
977,2023-11-27,0.7999999999999545,2574.7999999999984
978,2023-11-28,-15.200000000000045,2559.5999999999985
979,2023-11-29,5.2999999999999545,2564.8999999999987
980,2023-11-30,-16.59999999999991,2548.299999999999
981,2023-12-01,-0.1999999999998181,2548.099999999999
984,2023-12-04,17.40000000000009,2565.499999999999
985,2023-12-05,5.600000000000136,2571.0999999999995
986,2023-12-06,12.5,2583.5999999999995
987,2023-12-07,-17.59999999999991,2565.9999999999995
988,2023-12-08,0.0,2565.9999999999995
991,2023-12-11,2.3999999999998636,2568.3999999999996
992,2023-12-12,1.2000000000000455,2569.5999999999995
993,2023-12-13,14.299999999999955,2583.8999999999996
994,2023-12-14,6.699999999999818,2590.5999999999995
995,2023-12-15,8.199999999999818,2598.7999999999993
998,2023-12-18,11.0,2609.7999999999993
999,2023-12-19,9.599999999999909,2619.399999999999
1000,2023-12-20,5.0,2624.399999999999
1001,2023-12-21,-12.099999999999909,2612.2999999999993
1002,2023-12-22,-3.2999999999999545,2608.999999999999
1005,2023-12-25,17.800000000000182,2626.7999999999993
1006,2023-12-26,6.7999999999999545,2633.5999999999995
1007,2023-12-27,-4.7999999999999545,2628.7999999999993
1008,2023-12-28,16.5,2645.2999999999993
1009,2023-12-29,-2.2737367544323206e-13,2645.2999999999993
1012,2024-01-01,0.0,2645.2999999999993
1013,2024-01-02,12.200000000000045,2657.499999999999
1014,2024-01-03,15.400000000000091,2672.899999999999
1015,2024-01-04,8.299999999999955,2681.199999999999
1016,2024-01-05,9.799999999999955,2690.999999999999
1019,2024-01-08,-4.0,2686.999999999999
1020,2024-01-09,0.0,2686.999999999999
1021,2024-01-10,0.09999999999990905,2687.099999999999
1022,2024-01-11,5.2000000000000455,2692.2999999999993
1023,2024-01-12,-22.000000000000227,2670.2999999999993
1026,2024-01-15,12.599999999999682,2682.8999999999987
1027,2024-01-16,9.599999999999909,2692.4999999999986
1028,2024-01-17,-6.2999999999999545,2686.199999999999
1029,2024-01-18,7.099999999999909,2693.299999999999
1030,2024-01-19,22.5,2715.799999999999
1033,2024-01-22,-5.100000000000136,2710.699999999999
1034,2024-01-23,3.0999999999996817,2713.7999999999984
1035,2024-01-24,-3.5,2710.2999999999984
1036,2024-01-25,-5.600000000000136,2704.699999999998
1037,2024-01-26,6.7999999999999545,2711.499999999998
1040,2024-01-29,-3.5,2707.999999999998
1041,2024-01-30,2.5,2710.499999999998
1042,2024-01-31,13.099999999999909,2723.599999999998
1043,2024-02-01,6.2999999999999545,2729.899999999998
1044,2024-02-02,4.100000000000136,2733.999999999998
1047,2024-02-05,22.199999999999818,2756.199999999998
